table_name,field_name,language,translation,record_id
stops,stop_name,ar,تقاطع المحيصنة 1 2,866002
stops,stop_name,ar,"محطة حافلات الراشدية ، القادمون",961508
stops,stop_name,ar,مواقف محطة حافلات الراشدية 1,921101
stops,stop_name,ar,"محطة حافلات الراشدية ، بوابة 4",961504
stops,stop_name,ar,حديقة الراشدية 2,262002
stops,stop_name,ar,عيادة الراشدية,264001
stops,stop_name,ar,الراشدية 4,265001
stops,stop_name,ar,الراشدية 5,266001
stops,stop_name,ar,مسجد الجسمي 2,258002
stops,stop_name,ar,"الراشدية, شارع 11",967501
stops,stop_name,ar,"الراشدية, مسجد إبراهيم خليل, شارع 11",960501
stops,stop_name,ar,"الراشدية, شارع 11, مسجد سعد الملا",964501
stops,stop_name,ar,"الراشدية, شارع 2أ",958501
stops,stop_name,ar,"الراشدية, شارع 2أ, مسجد مريم",965501
stops,stop_name,ar,الراشدية 1-1,260001
stops,stop_name,ar,سوق الراشدية المركزي,249001
stops,stop_name,ar,سوق ند راشد 1,251001
stops,stop_name,ar,مسجد القطامي - الراشدية,256001
stops,stop_name,ar,مدرسة فاطمة الانجليزية 1,257001
stops,stop_name,ar,مسجد الجسمي 1,258001
stops,stop_name,ar,الراشدية 2,267001
stops,stop_name,ar,مدرسة ام هاني 1,268001
stops,stop_name,ar,الراشدية 3,269001
stops,stop_name,ar,حديقة الراشدية 1,262001
stops,stop_name,ar,تقاطع المحيصنة 1 1,866001
stops,stop_name,ar,"المزهر، المدرسة الإسلامية 1",844501
stops,stop_name,ar,محيصنة 1 -ب2,992002
stops,stop_name,ar,المزهر 1 - أ 1,201501
stops,stop_name,ar,المزهر 1 - سي 1,203501
stops,stop_name,ar,المزهر 1 - د 1,204501
stops,stop_name,ar,المزهر المزهر مول 1,205501
stops,stop_name,ar,المزهر 1 - ف 1,206501
stops,stop_name,ar,المزهر 1 - ج,207501
stops,stop_name,ar,محطة حافلات ميدان الإتحاد 2,123002
stops,stop_name,ar,سوق مكتوم التراثي 2,116002
stops,stop_name,ar,شارع مستشفى المكتوم - المقبره,314001
stops,stop_name,ar,حديقة نايف2,238502
stops,stop_name,ar,منعطف السبخة,107001
stops,stop_name,ar,شارع الخليج,108001
stops,stop_name,ar,فندق حياة ريجنسي,110001
stops,stop_name,ar,المرر الجديد 1,109001
stops,stop_name,ar,مصلى العيد البراحة 1,135001
stops,stop_name,ar,شارع البراحة 1,131001
stops,stop_name,ar,مسجد البراحة 2,545502
stops,stop_name,ar,دوار هور العنز 2,132002
stops,stop_name,ar,شارع الرشيد 2,133002
stops,stop_name,ar,محطة ديرة لسيارات الأجرة 1,121001
stops,stop_name,ar,محطة حافلات مترو الإتحاد 2-1,397501
stops,stop_name,ar,مسجد حصة بنت المر 2,488002
stops,stop_name,ar,مركز تسوق مركاتو 2,487002
stops,stop_name,ar,شارع جميرا بنك دبي الإسلامي 2,486002
stops,stop_name,ar,مركز الشاطئ 2,485002
stops,stop_name,ar,سنشري بلازا 2,484001
stops,stop_name,ar,مركز بالم ستريب,482002
stops,stop_name,ar,متحف الاتحاد 2,452002
stops,stop_name,ar,محطة إينوك الضيافة,634501
stops,stop_name,ar,فندق جميرا روتانا 1,457001
stops,stop_name,ar,شارع الضيافة 1,456001
stops,stop_name,ar,مركز الهناء 2,455002
stops,stop_name,ar,منعطف الحضيبة 2,453002
stops,stop_name,ar,محطة بترول ايبكو - الحوت,454001
stops,stop_name,ar,محطة حافلات مترو بنك أبوظبي التجاري جهة الجنوب,138101
stops,stop_name,ar,مركز تسوق سنتر بوينت 1,432001
stops,stop_name,ar,محطة حافلات مترو برجمان 4-1,363001
stops,stop_name,ar,محطة السيف للنقل البحري 2,230502
stops,stop_name,ar,شارع السيف,666101
stops,stop_name,ar,محطة حافلات مترو سيتي سنتر 2-1,228102
stops,stop_name,ar,مركز أبوهيل 2,197002
stops,stop_name,ar,مدرسة الاتحاد 2,160002
stops,stop_name,ar,سوق الحمرية المركزي 2,159002
stops,stop_name,ar,شارع ابوهيل 1,203001
stops,stop_name,ar,أتحاد الامارات للالعاب القوى 2,942002
stops,stop_name,ar,دوار ابوهيل 1,201001
stops,stop_name,ar,ميناء الحمرية 1,205001
stops,stop_name,ar,"ميناء الحمرية, مسجد شيخ المر2",351502
stops,stop_name,ar,"ميناء الحمرية, دوار مسجد شيخ المر 2",350502
stops,stop_name,ar,"ميناء الحمرية, محطة برج المراقبة 2",348502
stops,stop_name,ar,"ميناء الحمرية, محطة برج المراقبة 1",348501
stops,stop_name,ar,"ميناء الحمرية, خدمات الحاويات 1",349501
stops,stop_name,ar,"ميناء الحمرية, دوار مسجد شيخ المر 1",350501
stops,stop_name,ar,"ميناء الحمرية, مسجد شيخ المر1",351501
stops,stop_name,ar,ميناء الحمرية 2,205002
stops,stop_name,ar,دوار ابوهيل 2,201002
stops,stop_name,ar,أتحاد الامارات للالعاب القوى 1,942001
stops,stop_name,ar,شارع أبو هيل 2,203002
stops,stop_name,ar,سوق الحمرية المركزي 1,159001
stops,stop_name,ar,مدرسة الاتحاد 1,160001
stops,stop_name,ar,مركز أبوهيل 1,197001
stops,stop_name,ar,محطة حافلات مترو سيتي سنتر 1-1,199001
stops,stop_name,ar,محطة السيف للنقل البحري 1,230501
stops,stop_name,ar,محطة حافلات مترو برجمان 2-2,400002
