name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,98,6553283042,,55.266275,25.193078,,,,,
,99,3852524816,,55.266400,25.193488,,,,,
,100,4762807702,,55.260543,25.172373,,,,,
,101,1015938641,,55.262105,25.171380,,,,,
,102,1029419370,,55.257728,25.191830,,,,,
,103,1029419577,,55.258620,25.191095,,,,,
,104,1029417989,,55.259988,25.201977,,,,,
,105,10276007254,,55.258101,25.203096,,,,,
,106,5804657965,,55.257924,25.203201,,,,,
,107,1029418407,,55.255519,25.204642,,,,,
,108,1029419338,,55.258445,25.191472,,,,,
,109,1039175675,,55.258318,25.191585,,,,,
,110,1029419281,,55.257913,25.191978,,,,,
,111,7684934785,,55.258902,25.191124,,,,,
,112,1029419102,,55.259011,25.191282,,,,,
,113,1029417938,,55.259179,25.191470,,,,,
,114,9977313840,,55.260265,25.192723,,,,,
,115,1029416955,,55.264751,25.199650,,,,,
,116,1029417311,,55.264181,25.199578,,,,,
مخرج 49 جنوب,117,1029417195,,55.261024,25.192866,,,,,
,118,1029417394,,55.259380,25.191353,,,,,
,119,1029417605,,55.257619,25.191951,,,,,
,120,117732944,,55.261787,25.196189,,,,,
,121,9990891193,,55.261932,25.196336,,,,,
,122,1029420481,,55.264138,25.198779,,,,,
,123,1121853829,,55.265350,25.200240,,,,,
,124,9990891175,,55.265488,25.200423,,,,,
,125,7140130316,,55.265905,25.200992,,,,,
,126,4924820984,,55.265986,25.201102,,,,,
,127,2453269473,,55.266994,25.202596,,,,,
,128,1029418743,,55.268020,25.204134,,,,,
,129,1029417567,,55.259872,25.201906,,,,,
,130,4924499025,,55.260063,25.201803,,,,,
,131,4924491204,,55.260266,25.201706,,,,,
,132,1029420063,,55.259058,25.191385,,,,,
,133,9977313852,,55.258761,25.191225,,,,,
,134,1029417787,,55.269285,25.203344,,,,,
,135,1029419502,,55.268347,25.201552,,,,,
,136,1029418906,,55.259638,25.201634,,,,,
,137,9075848775,,55.259045,25.200784,,,,,
,138,9075848773,,55.258953,25.200657,,,,,
,139,9075848781,,55.258855,25.200519,,,,,
,140,9974786486,,55.258463,25.199960,,,,,
,141,9974786482,,55.258429,25.199912,,,,,
,142,4924618370,,55.254654,25.194514,,,,,
,143,9968019033,,55.258621,25.191084,,,,,
,144,1029418714,,55.258714,25.190974,,,,,
,145,1029417324,,55.258759,25.190967,,,,,
,146,4924598204,,55.258871,25.191012,,,,,
,147,1029416828,,55.258750,25.191224,,,,,
,148,1029418307,,55.258903,25.191120,,,,,
,149,9083647437,,55.258338,25.190662,,,,,
,150,117739872,,55.256154,25.188283,,,,,
,151,1039175684,,55.258076,25.192194,,,,,
,152,1050180114,,55.256297,25.169726,,,,,
,153,5813148199,,55.257223,25.174641,,,,,
,154,1050180428,,55.258326,25.173801,,,,,
,155,1050180052,,55.255699,25.170190,,,,,
,156,1103158318,,55.274310,25.202989,,,,,
,157,1132287251,,55.273267,25.203942,,,,,
,158,319523276,,55.288377,25.195158,,,,,
,159,319523301,,55.293454,25.190007,,,,,
,160,1103158384,,55.269835,25.205301,,,,,
,161,95047649,,55.272857,25.203654,,,,,
,162,10068515785,,55.283992,25.204839,,,,,
,163,7790308866,,55.288176,25.203561,,,,,
,164,1121799656,,55.288201,25.203711,,,,,
,165,10068515784,,55.288357,25.204636,,,,,
,166,1121799624,,55.288899,25.207717,,,,,
,167,1121799650,,55.287958,25.202269,,,,,
,168,1121799651,,55.287982,25.202413,,,,,
,169,1121799653,,55.288053,25.202834,,,,,
,170,1121799655,,55.288126,25.203266,,,,,
,171,1121799648,,55.287868,25.201736,,,,,
,172,11921545038,,55.288394,25.202209,,,,,
,173,11921545041,,55.288863,25.202145,,,,,
,174,1121799662,,55.291043,25.201847,,,,,
,175,1121799675,,55.284709,25.201128,,,,,
,176,1121799676,,55.285789,25.200973,,,,,
,177,3403983712,,55.286866,25.200818,,,,,
,178,1121799677,,55.288539,25.200578,,,,,
,179,265869545,,55.292049,25.200075,,,,,
,180,3403983711,,55.286372,25.198981,,,,,
,181,1121799681,,55.289823,25.197136,,,,,
,182,1121799600,,55.288717,25.201618,,,,,
,183,10060736548,,55.282433,25.201077,,,,,
,184,7730851710,,55.282318,25.201255,,,,,
,185,10060736549,,55.283652,25.200430,,,,,
,186,10060736529,,55.283843,25.201606,,,,,
,187,1121799707,,55.285842,25.203151,,,,,
,188,10068515738,,55.285879,25.203357,,,,,
,189,1121799703,,55.286031,25.204034,,,,,
,190,1121799699,,55.284000,25.204885,,,,,
,191,1121799706,,55.285920,25.203583,,,,,
,192,7771997215,,55.286642,25.202609,,,,,
,193,7771997217,,55.287471,25.202488,,,,,
,194,7771997218,,55.287542,25.202908,,,,,
,195,7771997216,,55.286716,25.203026,,,,,
,196,10068515795,,55.287614,25.203340,,,,,
,197,10068515792,,55.286787,25.203459,,,,,
,198,10068515793,,55.286862,25.203912,,,,,
,199,10068515796,,55.287690,25.203788,,,,,
,200,1121853758,,55.262026,25.199781,,,,,
,201,1121853788,,55.262559,25.198374,,,,,
,202,9990891182,,55.265577,25.200178,,,,,
,203,9790487495,,55.266162,25.199770,,,,,
,204,1123405166,,55.271110,25.200181,,,,,
,205,9074581341,,55.272022,25.199860,,,,,
,206,1123405163,,55.272278,25.199770,,,,,
,207,5802343789,,55.272770,25.199414,,,,,
,208,5802343783,,55.272780,25.199021,,,,,
,209,9075848789,,55.269901,25.200106,,,,,
,210,9074620776,,55.269765,25.199911,,,,,
,211,9074620787,,55.269117,25.198996,,,,,
,212,1123405294,,55.268709,25.198444,,,,,
,213,8998092607,,55.267931,25.197349,,,,,
,214,8998092615,,55.267913,25.197294,,,,,
,215,1752986057,,55.267274,25.195542,,,,,
,216,5802374166,,55.270865,25.200242,,,,,
,217,1123405324,,55.270877,25.200012,,,,,
,218,1123405117,,55.270715,25.199526,,,,,
,219,927218697,,55.270503,25.200282,,,,,
,220,95050498,,55.269309,25.201672,,,,,
,221,1123415960,,55.270617,25.202535,,,,,
,222,430810282,,55.271333,25.206251,,,,,
,223,1123415975,,55.270012,25.204389,,,,,
,224,1123416082,,55.270087,25.203306,,,,,
,225,1123416086,,55.271302,25.203229,,,,,
,226,95049168,,55.272190,25.202994,,,,,
,227,648477271,,55.277834,25.201159,,,,,
,228,8871912820,,55.277895,25.201259,,,,,
,229,1121799592,,55.278642,25.204448,,,,,
,230,2396987823,,55.278565,25.204190,,,,,
,231,2396987809,,55.278399,25.203458,,,,,
,232,2396987808,,55.278390,25.203403,,,,,
,233,1125072229,,55.278157,25.202450,,,,,
,234,647982457,,55.277298,25.200414,,,,,
,235,1125079610,,55.278354,25.200879,,,,,
,236,1125079621,,55.278167,25.201693,,,,,
