name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
O 14 Tower,22,254079951,,commercial,,,,"POLYGON ((55.2694835 25.1810595, 55.2695881 25.1810589, 55.2696679 25.1811305, 55.2697088 25.1811263, 55.2697417 25.180991, 55.2698409 25.1808653, 55.2698141 25.1808289, 55.2697129 25.1808338, 55.2696223 25.1807562, 55.2695733 25.1807568, 55.2695425 25.1808933, 55.2694466 25.1810158, 55.2694835 25.1810595))",POINT (55.26964196036273 25.180941782527917),,1
إتصالات,23,256580765,,yes,,,,"POLYGON ((55.2744241 25.2042793, 55.2743384 25.2041527, 55.2745383 25.2040543, 55.2744228 25.20389, 55.2744035 25.2038054, 55.2744448 25.2037332, 55.2746401 25.2036311, 55.2746099 25.2035614, 55.2747639 25.2034693, 55.2749345 25.203763, 55.274942 25.2038504, 55.2749262 25.2039323, 55.2748905 25.204012, 55.2748244 25.2040916, 55.2744241 25.2042793))",POINT (55.27466587073324 25.203883976048242),,1
,24,256581018,,,,garden,,"POLYGON ((55.2763934 25.2059359, 55.2762199 25.2044266, 55.2784812 25.2042139, 55.2786546 25.2057232, 55.2763934 25.2059359))",POINT (55.27743727320579 25.20507489460658),,1
,25,291222678,,yes,,,,"POLYGON ((55.275122 25.1942407, 55.2751493 25.1943152, 55.2751152 25.1943255, 55.2751254 25.1943532, 55.2750208 25.1943846, 55.2749822 25.1942794, 55.2749339 25.1942939, 55.2748903 25.1941751, 55.2749936 25.1941441, 55.2749761 25.1940966, 55.2749423 25.1941067, 55.2749341 25.1940844, 55.2749071 25.1940925, 55.2748786 25.1939927, 55.2750286 25.1939465, 55.2750432 25.1939706, 55.2750975 25.1940246, 55.2751599 25.1940068, 55.2752296 25.1942098, 55.275122 25.1942407))",POINT (55.27504739550424 25.194154095892923),,1
,26,333314788,,,,playground,,"POLYGON ((55.2781445 25.1873581, 55.278088 25.187429, 55.2782531 25.1875288, 55.2783095 25.1874579, 55.2781445 25.1873581))",POINT (55.27819876515796 25.18744344762859),,1
Damac Maison,27,364038279,,yes,,,,"POLYGON ((55.2835547 25.1953633, 55.2840713 25.1950278, 55.2837981 25.1946833, 55.2832815 25.1950187, 55.2835547 25.1953633))",POINT (55.28367639405882 25.195023283264877),,1
Al Qasimi Mosque,28,364691579,,yes,place_of_worship,,,"POLYGON ((55.2603362 25.199088, 55.2604175 25.1991008, 55.2604512 25.1991061, 55.260588 25.1991276, 55.2605975 25.1990783, 55.2606738 25.1990903, 55.2606669 25.1991264, 55.2607245 25.1991103, 55.260771 25.1992036, 55.2607127 25.1993967, 55.2606807 25.1993917, 55.2606737 25.1994281, 55.2605967 25.199416, 55.2605887 25.1994574, 55.2605181 25.1994463, 55.2605302 25.1993833, 55.2602869 25.1993451, 55.2603251 25.1991463, 55.2603305 25.199118, 55.2603362 25.199088))",POINT (55.26053538100638 25.199251712791053),,1
Vida Residence,29,382058685,,apartments,,,,"POLYGON ((55.2727688 25.1907006, 55.2731242 25.1905954, 55.2735354 25.1904924, 55.2735253 25.190425, 55.2736854 25.1903875, 55.2732805 25.1900309, 55.2733039 25.1901312, 55.2729767 25.1902059, 55.2729059 25.1900209, 55.2725264 25.1901606, 55.2727688 25.1907006))",POINT (55.273048209450195 25.190354289373985),,1
Burj Vista - Downtown - Emaar,30,382072008,,apartments,,,,"POLYGON ((55.2703576 25.1976406, 55.2699454 25.1978987, 55.2705626 25.1987743, 55.2707496 25.1988994, 55.2710678 25.1990435, 55.2712505 25.1990733, 55.2712865 25.1990648, 55.2713336 25.1990515, 55.2713107 25.1990209, 55.2712901 25.1989483, 55.271264 25.1988835, 55.2711853 25.1988286, 55.2711192 25.1987962, 55.2710883 25.1987464, 55.2710924 25.1986779, 55.2711225 25.198608, 55.2711516 25.1985778, 55.2710226 25.1985289, 55.2709363 25.1985106, 55.2708615 25.198501, 55.2708615 25.1985208, 55.2707959 25.1985431, 55.270715 25.1985269, 55.2706628 25.1984765, 55.2706021 25.1983403, 55.2705759 25.1982009, 55.2705775 25.1981114, 55.2706045 25.1980515, 55.2706185 25.1980387, 55.2706018 25.197973, 55.2705498 25.1978695, 55.2703576 25.1976406))",POINT (55.270588362280435 25.1983847260234),,1
BLVD Crescent,31,382096507,,apartments,,,,"POLYGON ((55.2714686 25.1913477, 55.2710962 25.1908514, 55.2707576 25.1910903, 55.2704597 25.1913232, 55.2701618 25.1916357, 55.2699519 25.1918991, 55.2705003 25.1922668, 55.2706764 25.1920401, 55.2708863 25.1918195, 55.271191 25.1915438, 55.2714686 25.1913477))",POINT (55.27071231524221 25.191560311176527),,1
